variable,Q1,Q3,IQR,limite_inferior,limite_superior,n_atipicos,pct_atipicos
citric acid,0.25,0.39,0.14,0.03999999999999998,0.6000000000000001,509,7.83
volatile acidity,0.23,0.4,0.17,-0.024999999999999994,0.655,377,5.8
fixed acidity,6.4,7.7,1.2999999999999998,4.450000000000001,9.65,357,5.49
chlorides,0.038,0.065,0.027000000000000003,-0.002500000000000009,0.10550000000000001,286,4.4
quality,5.0,6.0,1.0,3.5,7.5,228,3.51
sulphates,0.43,0.6,0.16999999999999998,0.175,0.855,191,2.94
residual sugar,1.8,8.1,6.3,-7.6499999999999995,17.549999999999997,118,1.82
pH,3.11,3.32,0.20999999999999996,2.795,3.635,73,1.12
free sulfur dioxide,17.0,41.0,24.0,-19.0,77.0,62,0.95
total sulfur dioxide,77.0,156.0,79.0,-41.5,274.5,10,0.15
density,0.99234,0.99699,0.004650000000000043,0.9853649999999999,1.003965,3,0.05
alcohol,9.5,11.3,1.8000000000000007,6.799999999999999,14.000000000000002,3,0.05
